"API key was incorrect."                                                                                               ,"Clave de API incorrecta."
"Error creating default task runner status configuration."                                                             ,"Error creating default task runner status configuration."
"Packlink PRO Shipping"                                                                                                ,"Packlink PRO Shipping"
"Don't have an account?"                                                                                               ,"¿No tienes una cuenta?"
"Register"                                                                                                             ,"Registro"
"Select country to start"                                                                                              ,"Selecciona el país para comenzar"
"Allow Magento to connect to PacklinkPRO"                                                                              ,"Permitir que Magento se conecte a la cuenta PacklinkPRO"
"Your API key can be found under"                                                                                      ,"Puedes encontrar tu clave de API en"
"Connect your account"                                                                                                 ,"Conecta tu cuenta"
"Api key"                                                                                                              ,"Clave de API"
"Log in"                                                                                                               ,"Iniciar sesión"
"Enabled"                                                                                                              ,"Enabled"
"Title"                                                                                                                ,"Title"
"Calculate Handling Fee"                                                                                               ,"Calculate Handling Fee"
"Handling Applied"                                                                                                     ,"Handling Applied"
"Handling Fee"                                                                                                         ,"Handling Fee"
"Allowed Methods"                                                                                                      ,"Allowed Methods"
"Debug"                                                                                                                ,"Debug"
"Sort Order"                                                                                                           ,"Sort Order"
"guid is missing"                                                                                                      ,"guid is missing"
"Order ID and/or link missing"                                                                                         ,"Order ID and/or link missing"
"Order details not found"                                                                                              ,"Detalles del pedido no encontrados"
"Create order draft in Packlink PRO"                                                                                   ,"Crear borrador en Packlink PRO"
"Select drop-off location"                                                                                             ,"Seleccionar lugar de entrega"
"Change drop-off location"                                                                                             ,"Cambiar el lugar de entrega"
"Package will be delivered to:"                                                                                        ,"El paquete será entregado a:"
"Packlink PRO Shipment Labels"                                                                                         ,"Packlink PRO etiquetas de los envíos"
"Shipment label"                                                                                                       ,"Etiqueta de envío"
"Print"                                                                                                                ,"Imprimir"
"Printed"                                                                                                              ,"Impreso"
"Print Packlink PRO Shipment Labels"                                                                                   ,"Imprimir Packlink PRO etiquetas de los envíos"
"Directory '%s' was not created"                                                                                       ,"El directorio '%s' no fue creado"
"Shipment details"                                                                                                     ,"Detalles del envío"
"Packlink reference number"                                                                                            ,"Número de referencia Packlink"
"Packlink shipping cost"                                                                                               ,"Precio de envío de Packlink"
"View on Packlink PRO"                                                                                                 ,"Ver en Packlink PRO"
"Carrier logo"                                                                                                         ,"Logo del transportista"
"Carrier"                                                                                                              ,"Transportista"
"Carrier tracking numbers"                                                                                             ,"Número de tracking del transportista"
"Track it!"                                                                                                            ,"¡Seguimiento!"
"Status"                                                                                                               ,"Estado"
"SHIPPING SERVICES"                                                                                                    ,"SERVICIOS DE ENVÍO"
"BASIC SETTINGS"                                                                                                       ,"CONFIGURACIÓN"
"Help"                                                                                                                 ,"Ayuda"
"Contact us"                                                                                                           ,"Contacta con nosotros"
"Map order statuses"                                                                                                   ,"Sincronización de estados"
"Default warehouse"                                                                                                    ,"Dirección predefinida"
"Default parcel"                                                                                                       ,"Paquete predefinido"
"Set default parcel"                                                                                                   ,"Establece el paquete que más usas"
"We will use the default parcel in case any item has not defined dimensions and weight. You can edit anytime."         ,"Usaremos el paquete que has definido como el más usado en el caso de que algún artículo no tenga las dimensiones y el peso definidas. Puedes editar esta información en cualquier momento."
"Weight"                                                                                                               ,"Peso"
"Length"                                                                                                               ,"Longitud"
"Width"                                                                                                                ,"Anchura"
"Height"                                                                                                               ,"Altura"
"Save changes"                                                                                                         ,"Guardar cambios"
"Set default warehouse"                                                                                                ,"Establece la dirección predefinida"
"We will use the default Warehouse address as your sender address. You can edit anytime."                              ,"Usaremos la dirección predefinida como la dirección del remitente. Puedes editarla en cualquier momento."
"Warehouse name"                                                                                                       ,"Dirección predefinida"
"Contact person name"                                                                                                  ,"Nombre de la persona de contacto"
"Contact person surname"                                                                                               ,"Apellido de la persona de contacto"
"Company name"                                                                                                         ,"Nombre de la empresa"
"Country"                                                                                                              ,"País"
"City or postal code"                                                                                                  ,"Ciudad o código postal"
"Address"                                                                                                              ,"Dirección"
"Phone number"                                                                                                         ,"Teléfono"
"Email"                                                                                                                ,"Email"
"Cancel"                                                                                                               ,"Cancelar"
"Accept"                                                                                                               ,"Aceptar"
"You're almost there!"                                                                                                 ,"¡Ya casi está!"
"Details synced with your existing account"                                                                            ,"Datos sincronizados con tu cuenta Packlink PRO"
"Set default parcel details"                                                                                           ,"Establece el paquete que más usas"
"Set default warehouse details"                                                                                        ,"Establece la dirección predefinida"
